route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
28792,CMBC,002,MACDONALD/DOWNTOWN , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt002.pdf, , 
28793,CMBC,003,MAIN/DOWNTOWN                  , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt003.pdf, , 
28794,CMBC,004,POWELL/DOWNTOWN/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/125/tt004.pdf, , 
28795,CMBC,005,ROBSON/DOWNTOWN                , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt005.pdf, , 
28796,CMBC,006,DAVIE/DOWNTOWN                 , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt006.pdf, , 
28797,CMBC,007,NANAIMO STN/DUNBAR             , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt007.pdf, , 
28798,CMBC,008,FRASER/DOWNTOWN               , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt008.pdf, , 
28799,CMBC,009,BDRY/COMM-BWY/GRAN/ALMA/UBC  , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt009.pdf, , 
28800,CMBC,010,GRANVILLE/DOWNTOWN          , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt010.pdf, , 
28801,CMBC,014,HASTINGS/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/125/tt014.pdf, , 
28802,CMBC,015,CAMBIE/OLYMPIC VILLAGE STN        , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt015.pdf, , 
28803,CMBC,016,29TH AVENUE STN/ARBUTUS        , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt016.pdf, , 
28804,CMBC,017,OAK/DOWNTOWN                   , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt017.pdf, , 
28805,CMBC,019,METROTOWN STN/STANLEY PARK         , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt019.pdf, , 
28806,CMBC,020,VICTORIA/DOWNTOWN              , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt020.pdf, , 
28807,CMBC,022,KNIGHT/DOWNTOWN           , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt022.pdf, , 
28808,CMBC,025,BRENTWOOD STN/UBC             , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt025.pdf, , 
28809,CMBC,026,JOYCE STN/29TH AVENUE STN  , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt026.pdf, , 
28810,CMBC,027,KOOTENAY LOOP/JOYCE STN        , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt027.pdf, , 
28811,CMBC,028,CAP UNIVERSIT/PHIBBS EXCH/JOYCE STN, ,3,http://infomaps.translink.ca/Public_Timetables/125/tt028.pdf, , 
28812,CMBC,029,ELLIOTT/29TH AVENUE STN  , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt029.pdf, , 
28813,CMBC,032,DUNBAR/DOWNTOWN                , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt032.pdf, , 
28814,CMBC,033,29 AVE STN/ UBC, ,3,http://infomaps.translink.ca/Public_Timetables/125/tt033.pdf, , 
28815,CMBC,041,JOYCE STN/CROWN/UBC           , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt041.pdf, , 
28816,CMBC,043,JOYCE STN/UBC, ,3,http://infomaps.translink.ca/Public_Timetables/125/tt043.pdf, , 
28817,CMBC,044,UBC/DOWNTOWN                    , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt044.pdf, , 
28818,CMBC,049,METROTOWN STN/DUNBAR LOOP/UBC   , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt049.pdf, , 
28819,CMBC,050,WATERFRONT STN/FALSE CREEK SOUTH, ,3,http://infomaps.translink.ca/Public_Timetables/125/tt050.pdf, , 
28820,CMBC,084,UBC/VCC STATION, ,3,http://infomaps.translink.ca/Public_Timetables/125/tt084.pdf, , 
28821,CMBC,096,GUILDFORD EX/ NEWTON EX (B-LINE), ,3,http://infomaps.translink.ca/Public_Timetables/125/tt096.pdf, , 
28822,CMBC,097,COQUITLAM STN/LOUGHEED STN (B-LINE), ,3,http://infomaps.translink.ca/Public_Timetables/125/tt097.pdf, , 
28823,CMBC,099,COMMERCIAL-BROADWAY/UBC (B-LINE)  , ,3,http://infomaps.translink.ca/Public_Timetables/125/tt099.pdf, , 
