from_stop_id,to_stop_id,transfer_type,min_transfer_time
955,678,0,
955,737,0,
955,955,0,
1046,959,0,
8907,8762,0,
8907,8753,0,
1061,1544,0,
1061,1570,0,
1026,1971,2,360
1027,1971,2,420
1027,2062,2,360
1039,1514,0,
1039,1596,0,
1042,11023,0,
1042,11013,0,
1045,565,0,
1045,11422,0,
11423,11454,2,300
329,9080,0,
4879,584,2,600
4879,542,2,360
4879,405,2,480
11429,25,0,
11429,26,2,360
11429,11427,0,
11429,11,2,300
11429,98,2,540
11523,11272,2,300
11523,4495,2,300
11523,11706,2,300
11523,11523,0,
11525,8041,2,360
11525,11535,2,360
11525,11525,0,
11616,11438,2,360
11616,96,0,
11616,77,0,
938,8035,2,480
938,8019,2,480
938,8994,2,300
938,189,2,300
938,35,2,300
938,2736,2,300
938,938,0,
5715,11134,0,
5715,11133,0,
5719,5052,0,
5719,5037,0,
5119,5125,0,
5119,5723,0,
5119,5119,0,
5664,5670,0,
5664,5722,0,
5665,5668,0,
5665,5665,0,
5588,5588,0,
5706,6078,0,
5708,5693,0,
5708,5641,0,
10880,5262,0,
10880,5768,2,300
10880,11764,2,360
10880,5494,0,
10880,6467,0,
10880,5045,0,
10880,5122,2,120
10880,10881,0,
10880,8060,0,
10880,5667,0,
10880,8057,0,
10880,5769,0,
10880,5793,0,
10880,5891,0,
10880,5668,0,
10880,11882,0,
10880,10880,0,
11882,5262,0,
11882,5768,0,
11882,11764,2,360
11882,5494,0,
11882,6467,0,
11882,5045,0,
11882,5122,2,120
11882,10881,0,
11882,8060,0,
11882,5667,2,120
11882,8057,0,
11882,5769,0,
11882,5793,0,
11882,5891,0,
11882,11882,0,
11882,10880,0,
1013,10424,2,300
1013,11359,2,360
1013,26,2,480
1013,98,2,600
11930,11272,2,420
11535,11272,2,480
11535,8035,2,600
11535,4495,2,360
11535,4881,2,480
11535,11706,0,
11535,8535,2,600
11535,35,2,480
11535,8041,2,360
11535,96,2,480
11535,95,2,360
11535,78,2,360
11535,11535,0,
1018,767,0,
1018,869,0,
1018,9551,0,
1018,1018,0,
1031,292,0,
1031,386,0,
217,330,0,
217,545,0,
217,9136,0,
217,8640,0,
1055,902,0,
1055,915,0,
1065,1832,2,120
1065,11762,0,
1065,1615,0,
1065,8071,0,
1065,8046,0,
1065,8903,0,
1070,1156,0,
1070,1071,0,
8903,1832,2,120
8903,11762,0,
8903,1615,0,
8903,8071,0,
8903,8046,0,
8903,8903,0,
8903,1065,0,
1071,1156,0,
1071,1071,0,
1071,1070,0,
11733,2269,0,
2321,2268,0,
2321,2321,0,
2323,11909,0,
2323,11906,0,
2323,2266,0,
2323,2323,0,
11682,1442,0,
11682,1430,0,
3624,2646,0,
3624,2189,0,
3536,2646,0,
3536,2189,0,
2263,1442,0,
2263,1430,0,
2266,11909,0,
2266,11906,0,
8689,8690,0,
8689,8688,0,
8689,8672,0,
8689,8656,0,
8689,8657,0,
8689,8755,0,
8689,8676,0,
8689,8746,0,
8689,8691,0,
2325,11204,0,
2325,2444,0,
2325,2264,0,
10929,10423,0,
10929,10915,0,
10929,2397,0,
10929,3535,0,
10929,5989,0,
10929,2203,2,120
10929,6984,0,
10929,8065,0,
10929,8052,0,
10929,2252,0,
2264,11204,0,
2264,2444,0,
2264,2264,0,
2264,2325,0,
8691,8685,0,
8691,8690,0,
8691,8688,0,
8691,8687,0,
8691,8672,0,
8691,8656,0,
8691,8657,0,
8691,8755,0,
8691,12227,0,
8691,8676,0,
8691,8746,0,
8691,8691,0,
8691,8689,0,
1429,11911,0,
1429,2326,0,
2799,2692,0,
2799,3023,0,
2799,10429,0,
2799,8066,0,
2799,8051,0,
2799,2630,0,
2799,2477,0,
2467,2467,0,
2472,1451,2,360
2430,2478,2,360
2430,2434,0,
410,1856,2,300
410,410,0,
76,9307,0,
76,9128,2,480
76,8535,2,420
76,8040,2,420
76,76,0,
77,11302,2,360
77,10400,2,300
77,11526,0,
77,11438,2,360
77,96,0,
77,77,0,
77,11616,0,
78,8035,2,540
78,8019,2,480
78,8994,2,480
78,35,2,480
78,11438,2,480
78,95,0,
78,78,2,120
78,938,2,360
437,437,0,
4474,451,2,120
4474,452,2,120
4474,1775,2,120
4474,10873,2,120
4474,4143,2,120
4474,4381,2,120
4474,4119,2,120
4474,4067,2,120
4474,4163,2,60
4210,8037,2,120
4210,10867,2,120
4210,4471,0,
4210,4459,2,120
4210,4475,0,
4210,4242,0,
4210,4568,0,
4210,4210,0,
4489,9543,0,
4489,4464,2,300
4489,4489,0,
4468,11708,2,360
4456,11367,0,
4456,4456,0,
11929,4329,2,360
4442,4328,0,
5458,5514,0,
5458,5703,2,300
5935,5938,2,300
5935,6015,2,300
5935,11907,2,300
5792,5745,2,300
5792,5937,0,
5844,8061,0,
5844,8056,0,
5844,10884,0,
5844,5844,0,
5176,5188,0,
5176,5900,0,
5181,9720,2,360
5124,5124,0,
5124,5721,0,
5725,5052,0,
5725,5037,0,
5729,11134,0,
5729,11133,0,
5737,5693,0,
5737,5641,0,
5596,6078,0,
5596,5596,0,
2444,11204,0,
2444,2325,0,
11714,11712,0,
11714,11719,0,
11714,11711,0,
11714,11716,0,
11714,8064,0,
11714,11715,0,
11714,8053,0,
11714,11710,0,
11714,11718,0,
2414,2016,2,120
2414,2671,2,120
2414,1173,2,120
2414,2523,2,120
2414,2761,2,120
2414,2833,2,120
2414,8068,0,
2414,10203,2,360
2414,8049,0,
2414,2717,2,120
8644,1451,0,
8644,1423,0,
2320,11732,0,
2355,2338,0,
2355,11555,0,
2355,2355,0,
2417,2417,0,
2418,2527,2,360
2428,2800,0,
2429,2429,0,
4071,4116,0,
4077,4077,0,
4087,4131,0,
4002,3995,0,
4194,4194,0,
4194,3994,0,
4204,4212,0,
4427,4329,0,
4427,4567,2,300
4427,4500,0,
4427,4427,0,
4429,9944,0,
11678,11708,2,300
11645,11639,2,360
11645,4463,0,
11866,4660,0,
11866,11867,0,
11866,4491,0,
4568,8037,2,120
4568,10867,2,120
4568,4471,2,120
4568,4459,2,120
4568,4475,2,120
4568,4242,0,
1761,451,2,120
1761,452,2,120
1761,1775,2,120
1761,10873,2,120
1761,4143,2,120
1761,4381,2,120
1761,4119,2,120
1761,4067,2,120
1761,4163,2,120
1761,1761,2,120
1761,4474,2,120
4461,11867,0,
4461,4461,2,120
4463,11639,2,360
4463,4463,0,
4463,11645,0,
5908,5275,0,
5274,5419,0,
5274,6060,0,
5274,5275,2,420
5180,9720,2,480
5180,5183,2,420
5180,5180,0,
5918,11137,0,
5918,9452,0,
5919,5408,0,
5919,5295,0,
5919,5919,0,
6116,6111,0,
6116,5925,0,
6116,6116,0,
1168,2540,0,
1169,1169,0,
1170,2762,2,600
1170,1170,0,
4163,451,2,120
4163,452,2,120
4163,1775,2,120
4163,10873,2,120
4163,4143,2,120
4163,4381,2,120
4163,4119,2,120
4163,4067,2,120
4163,4163,2,120
4163,1761,2,120
4163,4474,2,120
409,9128,2,360
409,4496,2,360
409,8535,0,
409,1857,2,300
409,8077,2,300
409,8040,2,300
409,409,0,
4107,4168,0,
4107,4107,0,
4107,4080,0,
453,493,2,360
497,676,2,300
497,497,0,
497,442,2,300
497,955,2,600
512,1244,2,600
696,231,2,300
696,1283,0,
696,2738,2,360
696,232,2,300
696,524,0,
696,942,2,360
91,21,0,
11638,80,0,
11638,11638,0,
11638,411,2,300
11638,939,2,360
95,8035,2,540
95,8019,2,480
95,8994,2,420
95,35,2,480
95,79,0,
95,95,0,
95,78,0,
96,11302,2,360
96,8019,2,540
96,8994,2,480
96,10400,2,360
96,11526,0,
96,4881,2,360
96,12036,2,300
96,35,2,480
96,11438,2,300
96,96,0,
96,77,0,
96,11616,0,
11553,4495,2,540
11553,10400,0,
11553,4881,2,300
11553,11706,2,420
11553,10399,2,300
5593,11860,0,
5593,11861,2,300
5593,5700,0,
5593,5633,0,
5593,5509,0,
5593,6077,0,
5593,5464,0,
5593,5701,2,480
5593,5743,0,
5593,5593,0,
5593,6000,0,
5815,9720,2,360
5815,5183,0,
5815,5815,0,
5815,5180,2,420
4067,451,2,120
4067,452,2,120
4067,1775,2,120
4067,10873,2,120
4067,4143,2,120
4067,4381,2,120
4067,4119,2,120
4067,4067,2,120
4067,4163,2,120
4067,1761,2,120
